Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,247472724,3174.9495493246695,3062535,39.29077096205974,487214,5012337,64.30574182879793,50412,0.6467603948165017,7321,
United States of America,Americas,45813604,13840.857,554676,167.574,135126,741714,224.081,9202,2.78,1348
India,South-East Asia,34308140,2486.089,92487,6.702,11903,459191,33.275,3538,0.256,311
Brazil,Americas,21814693,10262.868,79133,37.229,3838,607922,286.001,2118,0.996,98
The United Kingdom,Europe,9130861,13450.285,277630,408.965,33546,140964,207.648,1130,1.665,292
Russian Federation,Europe,8633643,5916.11,281042,192.581,40443,242060,165.869,8162,5.593,1189
Turkey,Europe,8091462,9593.967,182351,216.212,29796,71052,84.246,1493,1.77,224
France,Europe,6947472,10681.95,36139,55.565,1859,115354,177.36,188,0.289,71
Iran (Islamic Republic of),Eastern Mediterranean,5944599,7077.498,67143,79.939,10104,126616,150.746,1097,1.306,160
Argentina,Americas,5289945,11704.512,8360,18.497,1138,115989,256.637,138,0.305,39
Spain,Europe,5016969,10599.391,10929,23.09,585,87423,184.699,41,0.087,0
Colombia,Americas,5003977,9834.302,11391,22.387,1590,127311,250.204,212,0.417,30
Italy,Europe,4777614,8010.555,29841,50.034,2831,132161,221.592,257,0.431,41
Germany,Europe,4638419,5577.254,132004,158.722,20398,96027,115.463,668,0.803,194
Indonesia,South-East Asia,4246174,1552.398,4365,1.596,801,143481,52.457,182,0.067,24
Mexico,Americas,3808205,2953.637,23757,18.426,994,288464,223.732,1968,1.526,99
Poland,Europe,3045102,8022.264,54593,143.824,10434,77145,203.237,473,1.246,124
Ukraine,Europe,2979086,6811.868,153353,350.651,23393,69447,158.795,3819,8.732,720
South Africa,Africa,2922391,4927.425,2282,3.848,169,89197,150.394,210,0.354,18
Philippines,Western Pacific,2792656,2548.484,27025,24.662,2303,43404,39.609,1327,1.211,128
Malaysia,Western Pacific,2481339,7666.499,39115,120.852,5071,29045,89.739,469,1.449,70
Peru,Americas,2202189,6678.997,5930,17.985,393,200276,607.415,193,0.585,30
Netherlands,Europe,2147473,12336.421,53979,310.089,7761,18441,105.937,102,0.586,18
Iraq,Eastern Mediterranean,2057716,5115.834,8476,21.073,1315,23223,57.736,199,0.495,27
Thailand,South-East Asia,1935442,2772.84,60127,86.142,7679,19394,27.785,472,0.676,56
Czechia,Europe,1783227,16675.118,41290,386.107,9936,30840,288.388,156,1.459,33
Japan,Western Pacific,1723162,1362.437,5795,4.582,196,18282,14.455,61,0.048,7
Canada,Americas,1718471,4553.187,15884,42.086,6343,29023,76.898,218,0.578,71
Chile,Americas,1698127,8883.182,13519,70.72,1341,37782,197.644,91,0.476,5
Romania,Europe,1676293,8672.498,73463,380.069,10196,49115,254.102,3100,16.038,451
Bangladesh,South-East Asia,1570238,953.454,1675,1.017,256,27880,16.929,39,0.024,7
Belgium,Europe,1385377,12023.295,36640,317.988,3,26061,226.176,116,1.007,2
Israel,Europe,1329039,15354.777,4034,46.606,663,8106,93.651,24,0.277,3
Pakistan,Eastern Mediterranean,1274017,576.759,4211,1.906,457,28466,12.887,74,0.034,10
Sweden,Europe,1174273,11370.253,6011,58.203,632,15040,145.629,8,0.077,0
Serbia,Europe,1155759,16685.553,43802,632.364,7114,10078,145.495,444,6.41,60
Portugal,Europe,1091592,10602.192,5312,51.593,450,18171,176.488,30,0.291,9
Kazakhstan,Europe,1022944,5447.941,11288,60.117,1492,17201,91.608,180,0.959,26
Cuba,Americas,953183,8415.426,5248,46.333,549,8246,72.802,45,0.397,6
Morocco,Eastern Mediterranean,946543,2564.423,1740,4.714,260,14683,39.78,47,0.127,5
Viet Nam,Western Pacific,932357,957.849,36183,37.172,5637,22205,22.812,403,0.414,70
Hungary,Europe,879092,8998.308,23753,243.134,2595,30994,317.252,347,3.552,74
