,AAPL,TSLA,NVDA,IBM
2021-10-29,149.8,1114.0,255.67,125.1
2021-10-28,152.57,1077.04,249.41,125.84
2021-10-27,148.85,1037.86,244.51,125.17
2021-10-26,149.32,1018.43,247.17,127.13
2021-10-25,148.64,1024.86,231.66,127.64
2021-10-22,148.69,909.68,227.26,127.88
2021-10-21,149.48,894.0,226.92,128.33
2021-10-20,149.26,865.8,221.03,141.9
2021-10-19,148.76,864.27,222.9,141.98
2021-10-18,146.55,870.11,222.22,142.32
2021-10-15,144.84,843.03,218.62,144.61
2021-10-14,143.76,818.32,217.46,143.39
2021-10-13,140.91,811.08,209.39,140.76
2021-10-12,141.51,805.72,206.71,140.47
2021-10-11,142.81,791.94,206.95,142.43
2021-10-08,142.9,785.49,208.31,143.22
2021-10-07,143.29,793.61,210.75,141.81
2021-10-06,142.0,782.75,207.0,142.36
2021-10-05,141.11,780.59,204.51,143.15
2021-10-04,139.14,781.53,197.32,144.11
2021-10-01,142.65,775.22,207.42,143.32
2021-09-30,141.5,775.48,207.16,138.93
2021-09-29,142.83,781.31,205.17,139.18
2021-09-28,141.91,777.56,206.99,137.47
2021-09-27,145.37,791.36,216.6,138.56
2021-09-24,146.92,774.39,220.81,137.49
2021-09-23,146.83,753.64,224.82,136.73
2021-09-22,145.85,751.94,219.41,134.63
2021-09-21,143.43,739.38,212.46,132.97
2021-09-20,142.94,730.17,211.13,134.31
2021-09-17,146.06,759.49,219.0,135.23
2021-09-16,148.79,756.99,222.42,136.43
2021-09-15,149.03,755.83,223.41,137.2
2021-09-14,148.12,744.49,222.42,136.22
2021-09-13,149.55,743.0,221.52,138.15
2021-09-10,148.97,736.27,224.78,137.02
2021-09-09,154.07,754.86,221.77,137.74
2021-09-08,155.11,753.87,223.39,138.67
2021-09-07,156.69,752.92,226.62,138.06
2021-09-03,154.3,733.57,228.43,139.58
2021-09-02,153.65,732.39,223.96,140.01
2021-09-01,152.51,734.09,224.41,139.3
2021-08-31,151.83,735.72,223.85,140.34
2021-08-30,153.12,730.91,226.88,138.97
2021-08-27,148.6,711.92,226.36,139.41
2021-08-26,147.54,701.16,220.68,138.78
2021-08-25,148.36,711.2,222.13,139.86
2021-08-24,149.62,708.49,217.93,139.84
2021-08-23,149.71,706.3,219.58,139.62
2021-08-20,148.19,680.26,208.16,139.11
2021-08-19,146.7,673.47,197.98,138.02
2021-08-18,146.36,688.99,190.4,139.47
2021-08-17,150.19,665.71,194.58,142.42
2021-08-16,151.12,686.17,199.5,143.59
2021-08-13,149.1,717.17,201.88,143.18
2021-08-12,148.89,722.25,199.05,143.07
2021-08-11,145.86,707.82,196.99,142.13
2021-08-10,145.6,709.99,199.36,141.38
2021-08-09,146.09,713.76,202.95,141.25
2021-08-06,146.14,699.1,203.66,144.09
2021-08-05,147.06,714.63,206.37,142.77
2021-08-04,146.95,710.92,202.74,142.76
2021-08-03,147.36,709.74,198.15,144.07
2021-08-02,145.52,709.67,197.5,141.42
2021-07-30,145.86,687.2,194.99,140.96
2021-07-29,145.64,677.35,196.62,141.93
2021-07-28,144.98,646.98,195.03,141.77
2021-07-27,146.77,644.78,192.08,142.75
2021-07-26,148.99,657.62,192.94,142.77
2021-07-23,148.56,643.38,195.58,141.34
2021-07-22,146.8,649.26,195.94,140.71
2021-07-21,145.4,655.29,194.1,141.3
2021-07-20,146.15,660.5,186.12,139.97
2021-07-19,142.45,646.22,751.19,137.92
2021-07-16,146.39,644.22,726.44,138.9
2021-07-15,148.48,650.6,758.65,140.45
2021-07-14,149.15,653.38,793.66,139.82
2021-07-13,145.64,668.54,810.0,140.28
2021-07-12,144.5,685.7,820.5,140.92
2021-07-09,145.11,656.95,802.01,141.52
2021-07-08,143.24,652.81,796.11,140.74
2021-07-07,144.57,644.65,814.87,139.82
2021-07-06,142.02,659.58,827.94,138.78
2021-07-02,139.96,678.9,819.48,140.02
2021-07-01,137.27,677.92,808.48,146.84
2021-06-30,136.96,679.7,800.1,146.59
2021-06-29,136.33,680.76,801.07,145.55
2021-06-28,134.78,688.72,799.4,145.29
2021-06-25,133.11,671.87,761.24,146.84
2021-06-24,133.41,679.82,768.22,145.44
2021-06-23,133.7,656.57,762.29,144.61
2021-06-22,133.98,623.71,755.47,146.36
2021-06-21,132.3,620.83,737.09,146.65
2021-06-18,130.46,623.31,745.55,143.12
2021-06-17,131.79,616.6,746.29,145.6
2021-06-16,130.15,604.87,712.41,147.83
2021-06-15,129.64,599.36,711.54,149.36
2021-06-14,130.48,617.69,720.75,150.03
2021-06-11,127.35,609.89,713.01,151.28
2021-06-10,126.11,610.12,697.0,150.54
2021-06-09,127.13,598.78,694.33,150.67
2021-06-08,126.74,603.59,698.28,149.07
2021-06-07,125.9,605.13,704.76,148.02
2021-06-04,125.89,599.05,703.13,147.42
2021-06-03,123.54,572.84,678.79,145.55
2021-06-02,125.06,605.12,671.13,145.72
2021-06-01,124.28,623.9,650.58,144.19
2021-05-28,124.61,625.22,649.78,143.74
2021-05-27,125.28,630.85,619.52,143.82
2021-05-26,126.85,619.13,628.0,143.38
2021-05-25,126.9,604.69,625.91,143.79
2021-05-24,127.1,606.44,624.48,144.72
2021-05-21,125.43,580.88,599.67,144.74
2021-05-20,127.31,586.78,584.5,143.88
2021-05-19,124.69,563.46,562.63,143.19
2021-05-18,124.85,577.87,560.63,143.91
2021-05-17,126.27,576.83,566.62,145.11
2021-05-14,127.45,589.74,569.72,144.68
2021-05-13,124.97,571.69,546.61,144.17
2021-05-12,122.77,589.89,550.34,141.3
2021-05-11,125.91,617.2,572.25,144.22
2021-05-10,126.85,629.04,570.63,146.17
2021-05-07,130.21,672.37,592.49,145.46
2021-05-06,129.74,663.54,580.92,148.42
2021-05-05,128.1,670.94,578.34,145.22
2021-05-04,127.85,673.6,574.05,145.75
2021-05-03,132.54,684.9,593.47,144.75
2021-04-30,131.46,709.44,600.38,141.88
2021-04-29,133.48,677.0,612.99,144.24
2021-04-28,133.58,694.4,611.07,143.0
2021-04-27,134.39,704.74,615.27,142.01
2021-04-26,134.72,738.2,619.12,141.57
2021-04-23,134.32,729.4,610.61,142.43
2021-04-22,131.94,719.69,594.01,141.28
2021-04-21,133.5,744.12,614.42,143.55
2021-04-20,133.11,718.99,606.85,138.16
2021-04-19,134.84,714.63,614.47,133.12
2021-04-16,134.16,739.78,636.5,133.59
2021-04-15,134.5,738.85,645.49,132.58
2021-04-14,132.03,732.23,611.08,132.63
2021-04-13,134.43,762.32,627.18,131.18
2021-04-12,131.24,701.98,608.36,134.59
2021-04-09,132.995,677.02,576.0,135.73
2021-04-08,130.36,683.8,572.68,135.12
2021-04-07,127.9,670.97,565.74,134.93
2021-04-06,126.21,691.62,554.46,134.22
2021-04-05,125.9,691.05,559.5,135.93
2021-04-01,123.0,661.75,552.47,133.23
2021-03-31,122.15,667.93,533.93,133.26
2021-03-30,119.9,635.62,514.87,134.72
2021-03-29,121.39,611.29,517.93,135.86
2021-03-26,121.21,618.71,513.57,136.38
2021-03-25,120.59,640.39,501.41,133.07
2021-03-24,120.09,630.27,505.72,130.62
2021-03-23,122.54,662.16,522.83,130.46
2021-03-22,123.39,670.0,527.45,130.55
2021-03-19,119.99,654.87,513.83,128.9
2021-03-18,120.53,653.16,508.9,130.06
2021-03-17,124.76,701.81,533.65,129.03
2021-03-16,125.57,676.88,531.65,128.24
2021-03-15,123.99,707.94,527.65,128.58
2021-03-12,121.03,693.73,514.24,127.61
2021-03-11,121.96,699.6,519.74,127.14
2021-03-10,119.98,668.06,498.73,127.87
2021-03-09,121.085,673.58,500.81,124.18
2021-03-08,116.36,563.0,463.73,124.81
2021-03-05,121.42,597.95,498.46,122.83
2021-03-04,120.13,621.44,494.81,120.11
2021-03-03,122.06,653.2,512.19,122.36
2021-03-02,125.12,686.44,536.25,120.33
2021-03-01,127.79,718.43,553.67,120.74
2021-02-26,121.26,675.5,548.58,118.93
2021-02-25,120.99,682.22,532.3,122.47
2021-02-24,125.35,742.02,579.96,123.21
2021-02-23,125.86,698.84,565.68,120.71
2021-02-22,126.0,714.5,574.23,120.86
2021-02-19,129.87,781.3,597.06,118.99
2021-02-18,129.71,787.38,593.16,120.73
2021-02-17,130.84,798.15,596.24,119.97
2021-02-16,133.19,796.22,613.21,120.07
2021-02-12,135.37,816.12,598.45,120.8
2021-02-11,135.13,811.66,610.03,120.91
2021-02-10,135.39,804.82,590.57,122.24
2021-02-09,136.01,849.46,570.53,122.1
2021-02-08,136.91,863.42,577.55,123.61
2021-02-05,136.76,852.23,543.64,121.79
2021-02-04,137.39,849.99,546.57,121.02
2021-02-03,133.94,854.69,541.22,119.12
2021-02-02,134.99,872.79,542.27,119.44
2021-02-01,134.14,839.81,529.48,120.54
2021-01-29,131.96,793.53,519.59,119.11
2021-01-28,137.09,835.43,522.04,120.08
2021-01-27,142.06,864.16,516.71,122.47
2021-01-26,143.16,883.09,537.41,122.49
2021-01-25,142.92,880.8,546.13,118.58
2021-01-22,139.07,846.64,548.5,118.61
2021-01-21,136.87,844.99,554.7,131.65
2021-01-20,132.03,850.45,534.63,130.08
