Invoice ID,Rating
750-67-8428,9.1
226-31-3081,9.6
631-41-3108,7.4
123-19-1176,8.4
373-73-7910,5.3
699-14-3026,4.1
355-53-5943,5.8
315-22-5665,8.0
665-32-9167,7.2
692-92-5582,5.9
351-62-0822,4.5
529-56-3974,6.8
365-64-0515,7.1
252-56-2699,8.2
829-34-3910,5.7
299-46-1805,4.5
656-95-9349,4.6
765-26-6951,6.9
329-62-1586,8.6
319-50-3348,4.4
300-71-4605,4.8
371-85-5789,5.1
273-16-6619,4.4
636-48-8204,9.9
549-59-1358,6.0
227-03-5010,8.5
649-29-6775,6.7
189-17-4241,7.7
145-94-9061,9.6
848-62-7243,7.4
871-79-8483,4.8
149-71-6266,4.5
640-49-2076,5.1
595-11-5460,5.1
183-56-6882,7.5
232-16-2483,6.8
129-29-8530,7.0
272-65-1806,4.7
333-73-7901,7.6
777-82-7220,7.7
280-35-5823,7.9
554-53-8700,6.3
354-25-5821,5.6
228-96-1411,7.6
617-15-4209,7.2
132-32-9879,9.5
370-41-7321,8.4
727-46-3608,4.1
669-54-1719,8.1
574-22-5561,7.9
326-78-5178,9.5
162-48-8011,8.5
616-24-2851,6.5
778-71-5554,6.1
242-55-6721,6.5
399-46-5918,8.2
106-35-6779,5.8
635-40-6220,6.6
817-48-8732,5.4
120-06-4233,9.3
285-68-5083,10.0
803-83-5989,7.0
347-34-2234,10.0
199-75-8169,8.6
853-23-2453,7.6
877-22-3308,5.8
838-78-4295,6.7
109-28-2512,9.9
232-11-3025,6.4
382-03-4532,4.3
393-65-2792,9.6
796-12-2025,5.9
510-95-6347,4.0
841-35-6630,8.7
287-21-9091,9.4
732-94-0499,5.4
263-10-3913,8.6
381-20-0914,5.7
829-49-1914,6.6
756-01-7507,6.0
870-72-4431,5.5
847-38-7188,6.4
480-63-2856,6.6
787-56-0757,8.3
360-39-5055,6.6
730-50-9884,4.0
362-58-8315,9.9
633-44-8566,7.3
504-35-8843,5.7
318-68-5053,6.1
565-80-5980,7.1
225-32-0908,8.2
873-51-0671,5.1
152-08-9985,8.6
512-91-0811,6.6
594-34-4444,7.2
766-85-7061,5.1
871-39-9221,4.1
865-92-6136,9.3
733-01-9107,7.4
163-56-7055,4.1
189-98-2939,7.2
551-21-3069,4.9
212-62-1842,9.9
716-39-1409,8.0
704-48-3927,7.3
628-34-3388,7.9
630-74-5166,7.4
588-01-7461,4.2
861-77-0145,9.2
479-26-8945,4.6
210-67-5886,7.8
227-78-1148,8.4
645-44-1170,4.3
237-01-6122,9.5
225-98-1496,7.1
291-32-1427,5.3
659-65-8956,5.2
642-32-2990,6.0
378-24-2715,4.1
638-60-7125,5.2
659-36-1684,6.5
219-22-9386,4.2
336-78-2147,4.6
268-27-6179,7.3
668-90-8900,4.5
870-54-3162,9.0
189-08-9157,5.9
663-86-9076,8.5
549-84-7482,7.2
191-10-6171,7.5
802-70-5316,8.3
695-51-0018,7.4
590-83-4591,8.8
483-71-1164,5.3
597-78-7908,6.2
700-81-1757,8.8
354-39-5160,9.8
241-72-9525,8.2
575-30-8091,9.2
731-81-9469,5.4
280-17-4359,8.1
338-65-2210,9.1
488-25-4221,8.4
239-10-7476,8.0
458-41-1477,9.5
685-64-1609,9.2
568-90-5112,5.6
262-47-2794,6.2
238-49-0436,4.9
608-96-3517,4.8
584-86-7256,7.3
746-94-0204,7.4
214-17-6927,9.9
400-89-4171,9.3
782-95-9291,9.0
279-74-2924,6.1
307-85-2293,9.7
743-04-1105,6.0
423-57-2993,10.0
894-41-5205,8.3
275-28-0149,6.0
101-17-6199,7.0
423-80-0988,6.5
548-46-9322,5.9
505-02-0892,5.6
234-65-2137,4.8
687-47-8271,8.7
796-32-9050,6.5
105-31-1824,8.5
249-42-3782,5.5
316-55-4634,9.4
733-33-4967,6.3
608-27-6295,9.8
414-12-7047,8.7
827-26-2100,8.8
175-54-2529,9.6
139-52-2867,4.8
407-63-8975,4.4
342-65-4817,9.9
130-98-8941,5.7
434-83-9547,7.7
851-28-6367,8.0
824-88-3614,5.7
586-25-0848,6.7
895-66-0685,8.0
305-14-0245,7.5
732-04-5373,7.0
400-60-7251,9.9
593-65-1552,5.9
284-34-9626,7.2
437-58-8131,4.6
286-43-6208,9.2
641-43-2399,5.7
831-07-6050,9.9
556-86-3144,5.0
848-24-9445,4.9
856-22-8149,6.1
699-01-4164,8.2
420-11-4919,5.5
606-80-4905,6.8
542-41-0513,6.6
426-39-2418,9.8
875-46-5808,8.7
394-43-4238,5.4
749-24-1565,7.9
672-51-8681,9.7
263-87-5680,7.8
573-58-9734,5.1
817-69-8206,6.5
888-02-0338,5.9
677-11-0152,8.8
142-63-6033,4.9
656-16-1063,4.4
891-58-8335,6.5
802-43-8934,8.3
560-30-5617,8.5
319-74-2561,5.5
549-03-9315,8.7
790-29-1172,7.9
239-36-3640,6.1
468-01-2051,5.4
389-25-3394,9.4
279-62-1445,8.2
213-72-6612,6.2
746-68-6593,9.7
836-82-5858,4.0
583-72-1480,9.7
466-61-5506,5.3
721-86-6247,7.4
289-65-5721,6.5
545-46-3100,8.7
418-02-5978,8.0
269-04-5750,6.7
157-13-5295,6.5
645-78-8093,4.1
211-30-9270,4.9
755-12-3214,8.6
346-84-3103,4.3
478-06-7835,4.9
540-11-4336,5.6
448-81-5016,5.8
142-72-4741,6.0
217-58-1179,4.2
376-02-8238,8.3
530-90-9855,5.7
866-05-7563,4.8
604-70-6476,6.8
799-71-1548,8.8
785-13-7708,4.2
845-51-0542,6.4
662-47-5456,8.4
883-17-4236,7.2
290-68-2984,5.2
704-11-6354,8.9
110-48-7033,9.0
366-93-0948,9.7
729-09-9681,8.7
151-16-1484,6.5
380-94-4661,6.9
850-41-9669,6.2
821-07-3596,5.6
655-85-5130,5.7
447-15-7839,4.2
154-74-7179,7.9
253-12-6086,8.7
808-65-0703,6.9
571-94-0759,9.5
144-51-6085,4.4
731-14-2199,7.0
783-09-1637,6.3
687-15-1097,9.7
126-54-1082,8.8
633-91-1052,5.1
477-24-6490,7.9
566-19-5475,6.2
526-86-8552,7.1
376-56-3573,6.4
537-72-0426,5.7
828-61-5674,9.6
136-08-6195,6.4
523-38-0215,7.9
490-29-1201,6.5
667-92-0055,8.5
565-17-3836,9.1
498-41-1961,7.6
593-95-4461,6.9
226-71-3580,9.5
283-79-9594,5.2
430-60-3493,4.2
139-20-0155,7.0
558-80-4082,6.0
278-97-7759,4.7
316-68-6352,7.1
585-03-5943,5.9
211-05-0490,7.5
727-75-6477,6.4
744-02-5987,5.8
307-83-9164,4.5
779-06-0012,7.7
446-47-6729,6.7
573-10-3877,4.7
735-06-4124,4.4
439-54-7422,4.7
396-90-2219,8.6
411-77-0180,4.3
286-01-5402,9.6
803-17-8013,4.1
512-98-1403,4.7
848-42-2560,7.8
532-59-7201,5.5
181-94-6432,9.7
870-76-1733,4.4
423-64-4619,5.0
227-07-4446,4.4
174-36-3675,5.2
428-83-5800,7.3
603-07-0961,4.9
704-20-4138,8.1
787-15-1757,8.4
649-11-3678,5.5
622-20-1945,8.4
372-94-8041,9.8
563-91-7120,6.7
746-54-5508,9.4
276-54-0879,6.4
815-11-1168,5.4
719-76-3868,8.6
730-61-8757,4.0
340-66-0321,7.6
868-81-1752,6.8
634-97-8956,9.1
566-71-1091,5.5
442-48-3607,7.9
835-16-0096,8.5
527-09-6272,9.1
898-04-2717,7.5
692-27-8933,5.2
633-09-3463,9.5
374-17-3652,8.9
378-07-7001,7.8
433-75-6987,8.9
873-95-4984,7.7
416-13-5917,9.3
150-89-8043,6.2
135-84-8019,7.6
441-94-7118,7.3
725-96-3778,4.7
531-80-1784,5.1
400-45-1220,4.8
860-79-0874,6.6
834-61-8124,5.5
115-99-4379,8.5
565-67-6697,4.8
320-49-6392,8.4
889-04-9723,7.8
632-90-0281,9.3
554-42-2417,5.2
453-63-6187,6.5
578-80-7669,5.6
612-36-5536,7.4
605-72-4132,9.1
471-41-2823,8.0
462-67-9126,7.2
272-27-9238,7.1
834-25-9262,9.1
122-61-9553,5.6
468-88-0009,6.0
613-59-9758,5.4
254-31-0042,7.8
201-86-2184,9.9
261-12-8671,4.9
730-70-9830,5.2
382-25-8917,8.9
422-29-8786,9.1
667-23-5919,7.0
843-01-4703,9.6
743-88-1662,8.7
595-86-2894,9.4
182-69-8360,4.0
289-15-7034,7.5
462-78-5240,4.2
868-52-7573,9.9
153-58-4872,4.2
662-72-2873,9.9
525-88-7307,5.8
689-16-9784,6.0
725-56-0833,10.0
394-41-0748,9.5
596-42-3999,6.6
541-89-9860,8.1
173-82-9529,9.7
563-36-9814,7.2
308-47-4913,6.2
885-17-6250,7.3
726-27-2396,4.3
316-01-3952,4.6
760-54-1821,5.8
793-10-3222,8.3
346-12-3257,8.0
110-05-6330,9.4
651-61-0874,6.2
236-86-3015,9.8
831-64-0259,9.6
587-03-7455,4.9
882-40-4577,8.0
732-67-5346,7.8
725-32-9708,4.1
256-08-8343,5.5
372-26-1506,5.4
244-08-0162,5.1
569-71-4390,6.9
132-23-6451,7.8
696-90-2548,6.6
472-15-9636,9.2
268-03-6164,7.8
750-57-9686,8.7
