Invoice ID,Unit price,Quantity,Total Sales,Date,Time,Payment,Customer type,Gender,City,Art Key
750-67-8428,74.69,7,548.9715,1/5/2019,13:08,Ewallet,Member,Female,Yangon,1
226-31-3081,15.28,5,80.22,3/8/2019,10:29,Cash,Normal,Female,Naypyitaw,5
631-41-3108,46.33,7,340.5255,3/3/2019,13:23,Credit card,Normal,Male,Yangon,10
123-19-1176,58.22,8,489.048,1/27/2019,20:33,Ewallet,Member,Male,Yangon,3
373-73-7910,86.31,7,634.3785,2/8/2019,10:37,Ewallet,Normal,Male,Yangon,19
699-14-3026,85.39,7,627.6165,3/25/2019,18:30,Ewallet,Normal,Male,Naypyitaw,7
355-53-5943,68.84,6,433.692,2/25/2019,14:36,Ewallet,Member,Female,Yangon,8
315-22-5665,73.56,10,772.38,2/24/2019,11:38,Ewallet,Normal,Female,Naypyitaw,10
665-32-9167,36.26,2,76.146,1/10/2019,17:15,Credit card,Member,Female,Yangon,4
692-92-5582,54.84,3,172.746,2/20/2019,13:27,Credit card,Member,Female,Mandalay,23
351-62-0822,14.48,4,60.816,2/6/2019,18:07,Ewallet,Member,Female,Mandalay,32
529-56-3974,25.51,4,107.142,3/9/2019,17:03,Cash,Member,Male,Mandalay,7
365-64-0515,46.95,5,246.4875,2/12/2019,10:25,Ewallet,Normal,Female,Yangon,5
252-56-2699,43.19,10,453.495,2/7/2019,16:48,Ewallet,Normal,Male,Yangon,23
829-34-3910,71.38,10,749.49,3/29/2019,19:21,Cash,Normal,Female,Yangon,2
299-46-1805,93.72,6,590.436,1/15/2019,16:19,Cash,Member,Female,Mandalay,19
656-95-9349,68.93,7,506.6355,3/11/2019,11:03,Credit card,Member,Female,Yangon,1
765-26-6951,72.61,6,457.443,1/1/2019,10:39,Credit card,Normal,Male,Yangon,20
329-62-1586,54.67,3,172.2105,1/21/2019,18:00,Credit card,Normal,Male,Yangon,27
319-50-3348,40.3,2,84.63,3/11/2019,15:30,Ewallet,Normal,Female,Mandalay,11
300-71-4605,86.04,5,451.71,2/25/2019,11:24,Ewallet,Member,Male,Naypyitaw,8
371-85-5789,87.98,3,277.137,3/5/2019,10:40,Ewallet,Normal,Male,Mandalay,2
273-16-6619,33.2,2,69.72,3/15/2019,12:20,Credit card,Normal,Male,Mandalay,14
636-48-8204,34.56,5,181.44,2/17/2019,11:15,Ewallet,Normal,Male,Yangon,8
549-59-1358,88.63,3,279.1845,3/2/2019,17:36,Ewallet,Member,Male,Yangon,20
227-03-5010,52.59,8,441.756,3/22/2019,19:20,Credit card,Member,Female,Yangon,11
649-29-6775,33.52,1,35.196,2/8/2019,15:31,Cash,Normal,Male,Mandalay,30
189-17-4241,87.67,2,184.107,3/10/2019,12:17,Credit card,Normal,Female,Yangon,29
145-94-9061,88.36,5,463.89,1/25/2019,19:48,Cash,Normal,Female,Mandalay,25
848-62-7243,24.89,9,235.2105,3/15/2019,15:36,Cash,Normal,Male,Yangon,2
871-79-8483,94.13,5,494.1825,2/25/2019,19:39,Credit card,Normal,Male,Mandalay,31
149-71-6266,78.07,9,737.7615,1/28/2019,12:43,Cash,Member,Male,Mandalay,22
640-49-2076,83.78,8,703.752,1/10/2019,14:49,Cash,Normal,Male,Mandalay,19
595-11-5460,96.58,2,202.818,3/15/2019,10:12,Credit card,Normal,Male,Yangon,2
183-56-6882,99.42,4,417.564,2/6/2019,10:42,Ewallet,Member,Female,Naypyitaw,24
232-16-2483,68.12,1,71.526,1/7/2019,12:28,Ewallet,Member,Female,Naypyitaw,17
129-29-8530,62.62,5,328.755,3/10/2019,19:15,Ewallet,Member,Male,Yangon,20
272-65-1806,60.88,9,575.316,1/15/2019,17:17,Ewallet,Normal,Female,Yangon,5
333-73-7901,54.92,8,461.328,3/23/2019,13:24,Ewallet,Normal,Female,Naypyitaw,4
777-82-7220,30.12,8,253.008,3/3/2019,13:01,Cash,Member,Male,Mandalay,9
280-35-5823,86.72,1,91.056,1/17/2019,18:45,Ewallet,Member,Female,Mandalay,15
554-53-8700,56.11,2,117.831,2/2/2019,10:11,Cash,Member,Male,Naypyitaw,13
354-25-5821,69.12,6,435.456,2/8/2019,13:03,Cash,Member,Female,Mandalay,19
228-96-1411,98.7,8,829.08,3/4/2019,20:39,Cash,Member,Female,Naypyitaw,27
617-15-4209,15.37,2,32.277,3/16/2019,19:47,Cash,Member,Male,Naypyitaw,2
132-32-9879,93.96,4,394.632,3/9/2019,18:00,Cash,Member,Female,Mandalay,5
370-41-7321,56.69,9,535.7205,2/27/2019,17:24,Credit card,Member,Male,Mandalay,1
727-46-3608,20.01,9,189.0945,2/6/2019,15:47,Ewallet,Member,Female,Mandalay,27
669-54-1719,18.93,6,119.259,2/10/2019,12:45,Credit card,Member,Male,Mandalay,6
574-22-5561,82.63,10,867.615,3/19/2019,17:08,Ewallet,Member,Female,Naypyitaw,30
326-78-5178,91.4,7,671.79,2/3/2019,10:19,Cash,Member,Male,Naypyitaw,23
162-48-8011,44.59,5,234.0975,2/10/2019,15:10,Cash,Member,Female,Yangon,28
616-24-2851,17.87,4,75.054,3/22/2019,14:42,Ewallet,Member,Female,Mandalay,30
778-71-5554,15.43,1,16.2015,1/25/2019,15:46,Credit card,Member,Male,Naypyitaw,30
242-55-6721,16.16,2,33.936,3/7/2019,11:49,Ewallet,Normal,Male,Mandalay,11
399-46-5918,85.98,8,722.232,2/28/2019,19:01,Cash,Normal,Female,Naypyitaw,5
106-35-6779,44.34,2,93.114,3/27/2019,11:26,Cash,Member,Male,Yangon,14
635-40-6220,89.6,8,752.64,2/7/2019,11:28,Ewallet,Normal,Male,Yangon,1
817-48-8732,72.35,10,759.675,1/20/2019,15:55,Cash,Member,Female,Yangon,9
120-06-4233,30.61,6,192.843,3/12/2019,20:36,Cash,Normal,Male,Naypyitaw,7
285-68-5083,24.74,3,77.931,2/15/2019,17:47,Credit card,Member,Female,Naypyitaw,21
803-83-5989,55.73,6,351.099,2/24/2019,10:55,Ewallet,Normal,Male,Naypyitaw,11
347-34-2234,55.07,9,520.4115,2/3/2019,13:40,Ewallet,Member,Female,Mandalay,20
199-75-8169,15.81,10,166.005,3/6/2019,12:27,Credit card,Member,Male,Yangon,16
853-23-2453,75.74,4,318.108,2/14/2019,14:35,Cash,Member,Male,Mandalay,4
877-22-3308,15.87,10,166.635,3/13/2019,16:40,Cash,Member,Male,Yangon,4
838-78-4295,33.47,2,70.287,2/10/2019,15:43,Ewallet,Normal,Female,Naypyitaw,4
109-28-2512,97.61,6,614.943,1/7/2019,15:01,Ewallet,Member,Female,Mandalay,31
232-11-3025,78.77,10,827.085,1/24/2019,10:04,Cash,Normal,Male,Yangon,17
382-03-4532,18.33,1,19.2465,2/2/2019,18:50,Cash,Member,Female,Yangon,2
393-65-2792,89.48,10,939.54,1/6/2019,12:46,Credit card,Normal,Male,Naypyitaw,27
796-12-2025,62.12,10,652.26,2/11/2019,16:19,Cash,Normal,Male,Naypyitaw,32
510-95-6347,48.52,3,152.838,3/5/2019,18:17,Ewallet,Member,Female,Mandalay,28
841-35-6630,75.91,6,478.233,3/9/2019,18:21,Cash,Normal,Female,Naypyitaw,5
287-21-9091,74.67,9,705.6315,1/22/2019,10:55,Ewallet,Normal,Male,Yangon,9
732-94-0499,41.65,10,437.325,1/13/2019,17:04,Credit card,Normal,Female,Naypyitaw,6
263-10-3913,49.04,9,463.428,1/9/2019,14:20,Credit card,Member,Male,Naypyitaw,29
381-20-0914,20.01,9,189.0945,1/12/2019,15:48,Credit card,Member,Female,Yangon,31
829-49-1914,78.31,10,822.255,3/5/2019,16:24,Ewallet,Member,Female,Naypyitaw,28
756-01-7507,20.38,5,106.995,1/22/2019,18:56,Cash,Normal,Female,Naypyitaw,4
870-72-4431,99.19,6,624.897,1/21/2019,14:42,Credit card,Normal,Female,Naypyitaw,4
847-38-7188,96.68,3,304.542,1/26/2019,19:56,Ewallet,Normal,Female,Mandalay,25
480-63-2856,19.25,8,161.7,1/23/2019,18:37,Ewallet,Normal,Male,Naypyitaw,25
787-56-0757,80.36,4,337.512,2/23/2019,18:45,Credit card,Member,Female,Naypyitaw,27
360-39-5055,48.91,5,256.7775,3/9/2019,10:17,Cash,Member,Male,Naypyitaw,16
730-50-9884,83.06,7,610.491,3/5/2019,14:31,Ewallet,Normal,Female,Naypyitaw,17
362-58-8315,76.52,5,401.73,3/25/2019,10:23,Cash,Normal,Male,Naypyitaw,31
633-44-8566,49.38,7,362.943,3/27/2019,20:35,Credit card,Member,Male,Yangon,27
504-35-8843,42.47,1,44.5935,1/2/2019,16:57,Cash,Normal,Male,Yangon,22
318-68-5053,76.99,6,485.037,2/27/2019,17:55,Cash,Normal,Female,Mandalay,1
565-80-5980,47.38,4,198.996,1/23/2019,10:25,Cash,Member,Female,Naypyitaw,11
225-32-0908,44.86,10,471.03,1/26/2019,19:54,Ewallet,Normal,Female,Naypyitaw,19
873-51-0671,21.98,7,161.553,1/10/2019,16:42,Ewallet,Member,Female,Yangon,22
152-08-9985,64.36,9,608.202,3/12/2019,12:09,Credit card,Member,Male,Mandalay,2
512-91-0811,89.75,1,94.2375,2/6/2019,20:05,Credit card,Normal,Male,Naypyitaw,2
594-34-4444,97.16,1,102.018,3/8/2019,20:38,Ewallet,Normal,Male,Yangon,7
766-85-7061,87.87,10,922.635,3/29/2019,10:25,Ewallet,Normal,Male,Mandalay,2
871-39-9221,12.45,6,78.435,2/9/2019,13:11,Cash,Normal,Female,Naypyitaw,5
865-92-6136,52.75,3,166.1625,3/23/2019,10:16,Ewallet,Normal,Male,Yangon,27
733-01-9107,82.7,6,521.01,3/5/2019,18:14,Cash,Normal,Male,Mandalay,12
163-56-7055,48.71,1,51.1455,3/26/2019,19:20,Cash,Member,Male,Naypyitaw,34
189-98-2939,78.55,9,742.2975,3/1/2019,13:22,Cash,Normal,Male,Naypyitaw,33
